Datum;JD;l_SL;b_SL;d_SL;l_Jup;b_Jup;d_Jup;x;y;z
1994-Apr-24;2449467;218.1763;-0.2473;5.381607;219.4119;1.1418;5.430967;-4.2305;-3.3263;-0.0232
1994-Apr-25;2449468;218.2620;-0.2392;5.381644;219.4881;1.1409;5.430820;-4.2256;-3.3326;-0.0225
1994-Apr-26;2449469;218.3477;-0.2311;5.381686;219.5643;1.1401;5.430672;-4.2206;-3.3389;-0.0217
1994-Apr-27;2449470;218.4335;-0.2228;5.381732;219.6405;1.1392;5.430524;-4.2156;-3.3453;-0.0209
1994-Apr-28;2449471;218.5194;-0.2145;5.381782;219.7167;1.1384;5.430376;-4.2107;-3.3516;-0.0201
1994-Apr-29;2449472;218.6053;-0.2062;5.381836;219.7929;1.1375;5.430228;-4.2057;-3.3580;-0.0194
1994-Apr-30;2449473;218.6913;-0.1977;5.381895;219.8691;1.1367;5.430079;-4.2007;-3.3643;-0.0186
1994-May-01;2449474;218.7774;-0.1892;5.381958;219.9453;1.1358;5.429929;-4.1957;-3.3707;-0.0178
1994-May-02;2449475;218.8635;-0.1806;5.382026;220.0215;1.1350;5.429779;-4.1907;-3.3770;-0.0170
1994-May-03;2449476;218.9497;-0.1719;5.382098;220.0977;1.1341;5.429627;-4.1856;-3.3834;-0.0161
