Datum;Laenge;Breite;Abstand;Laenge rad;Breite rad;x;y;r
2019-Jan-29;332.4252;-2.9765;0.927890283;5.801914257;-0.051949725;0.821379079;-0.428946715;0.926638482
2019-Jan-30;333.0352;-2.9929;0.92556965;5.812560765;-0.052235959;0.823821377;-0.41912064;0.924307185
2019-Jan-31;333.6484;-3.0091;0.923008803;5.823263124;-0.052518703;0.825955835;-0.409138755;0.921736167
2019-Feb-01;334.2652;-3.025;0.920206699;5.834028315;-0.05279621;0.827779548;-0.399002797;0.918924487
2019-Feb-02;334.8859;-3.0407;0.917162191;5.844861574;-0.053070227;0.829288498;-0.38871601;0.915870924
2019-Feb-03;335.511;-3.0561;0.913874024;5.855771627;-0.053339007;0.830479931;-0.378278972;0.912574324
2019-Feb-04;336.1407;-3.0713;0.910340832;5.866761965;-0.053604297;0.831348646;-0.367696718;0.909033249
2019-Feb-05;336.7756;-3.0862;0.906561135;5.87784306;-0.053864351;0.831891939;-0.356968766;0.905246319
2019-Feb-06;337.416;-3.1009;0.902533337;5.889020149;-0.054120915;0.832104684;-0.346099151;0.901211866
2019-Feb-07;338.0623;-3.1153;0.898255722;5.900300212;-0.054372242;0.831982264;-0.335090796;0.896928274
2019-Feb-08;338.715;-3.1294;0.893726449;5.911691976;-0.054618334;0.831520233;-0.323945435;0.892393715
2019-Feb-09;339.3745;-3.1433;0.888943549;5.923202422;-0.054860934;0.830713126;-0.312666558;0.887606148
2019-Feb-10;340.0414;-3.157;0.88390492;5.934842023;-0.055100044;0.829556288;-0.301255159;0.882563485
2019-Feb-11;340.7162;-3.1703;0.878608321;5.946619505;-0.055332173;0.828044233;-0.289714156;0.877263669
2019-Feb-12;341.3994;-3.1834;0.873051368;5.958543594;-0.055560811;0.826170752;-0.278046808;0.871704158
2019-Feb-13;342.0915;-3.1961;0.867231528;5.970623018;-0.055782468;0.823929548;-0.266256983;0.865882602
2019-Feb-14;342.7932;-3.2086;0.861146111;5.982869993;-0.056000634;0.821314483;-0.254346122;0.859796156
2019-Feb-15;343.5052;-3.2208;0.854792267;5.995296738;-0.056213565;0.818319091;-0.242316375;0.853442066
2019-Feb-16;344.2281;-3.2326;0.848166974;6.007913723;-0.056419513;0.814935928;-0.230172005;0.846817406
2019-Feb-17;344.9626;-3.2441;0.841267032;6.020733166;-0.056620226;0.811157289;-0.217916541;0.839918905
2019-Feb-18;345.7095;-3.2553;0.834089057;6.03376903;-0.056815703;0.806975344;-0.205552947;0.83274319
2019-Feb-19;346.4697;-3.2661;0.826629468;6.047037023;-0.057004199;0.802382038;-0.193083726;0.825286774
2019-Feb-20;347.244;-3.2765;0.818884478;6.060551108;-0.057185713;0.797368199;-0.18051378;0.817545882
2019-Feb-21;348.0334;-3.2865;0.810850084;6.074328737;-0.057360246;0.791924622;-0.167846333;0.809516522
2019-Feb-22;348.8389;-3.296;0.802522058;6.088387364;-0.057526052;0.786041401;-0.15508587;0.801194552
2019-Feb-23;349.6616;-3.3051;0.793895928;6.102746188;-0.057684877;0.779707956;-0.14223684;0.792575432
2019-Feb-24;350.5028;-3.3137;0.784966972;6.117427897;-0.057834975;0.772913496;-0.129302532;0.783654526
2019-Feb-25;351.3636;-3.3217;0.7757302;6.132451692;-0.057974602;0.765645843;-0.116290635;0.774426929
2019-Feb-26;352.2456;-3.3292;0.766180339;6.147845496;-0.058105501;0.757892812;-0.103203966;0.764887295
2019-Feb-27;353.1502;-3.336;0.756311817;6.163633744;-0.058224184;0.749640969;-0.090050175;0.755030209
2019-Feb-28;354.0792;-3.3422;0.746118745;6.179847853;-0.058332394;0.740876258;-0.076833955;0.744849707
2019-Mar-01;355.0343;-3.3476;0.735594899;6.196517493;-0.058426642;0.731583516;-0.063563974;0.734339716
2019-Mar-02;356.0176;-3.3522;0.724733702;6.213679315;-0.058506927;0.721746726;-0.050246664;0.723493652
2019-Mar-03;357.0314;-3.356;0.7135282;6.231373463;-0.05857325;0.71134869;-0.036889303;0.712304555
2019-Mar-04;358.078;-3.3587;0.701971044;6.249640079;-0.058620374;0.700371038;-0.023502923;0.700765281
2019-Mar-05;359.1602;-3.3604;0.69005446;6.268528032;-0.058650044;0.68879397;-0.010096566;0.688867966
2019-Mar-06;0.2811;-3.3608;0.677770238;0.004906121;-0.058657026;0.676596445;0.00331949;0.676604588
2019-Mar-07;1.444;-3.3599;0.665109698;0.025202554;-0.058641318;0.663755581;0.016731879;0.663966435
2019-Mar-08;2.6528;-3.3576;0.652063674;0.046300094;-0.058601175;0.65024678;0.030128019;0.650944369
2019-Mar-09;3.9117;-3.3535;0.638622487;0.068272044;-0.058529616;0.636043723;0.043491599;0.63752893
2019-Mar-10;5.2255;-3.3475;0.624775931;0.09120218;-0.058424897;0.621117746;0.056804878;0.623709908
2019-Mar-11;6.5998;-3.3394;0.610513256;0.11518824;-0.058283525;0.605437702;0.070049391;0.609476602
2019-Mar-12;8.0409;-3.3289;0.595823164;0.14034018;-0.058100265;0.588969835;0.08320309;0.594817805
2019-Mar-13;9.5559;-3.3155;0.580693813;0.166781918;-0.057866391;0.571677693;0.096239501;0.579721852
2019-Mar-14;11.1532;-3.2989;0.565112841;0.194660062;-0.057576667;0.553521077;0.109130351;0.564176405
2019-Mar-15;12.8424;-3.2785;0.549067414;0.224142164;-0.05722062;0.534456414;0.121841511;0.548168781
2019-Mar-16;14.6348;-3.2538;0.532544313;0.255425445;-0.056789523;0.514435731;0.134334179;0.531685803
2019-Mar-17;16.5438;-3.224;0.515530083;0.288743781;-0.056269415;0.493406188;0.146563946;0.51471415
2019-Mar-18;18.5849;-3.1882;0.498011254;0.324367696;-0.055644587;0.471310574;0.158475265;0.497240452
2019-Mar-19;20.7771;-3.1453;0.479974699;0.362628804;-0.054895841;0.448084747;0.170006526;0.479251666
2019-Mar-20;23.1429;-3.0937;0.461408169;0.403919803;-0.053995251;0.423659152;0.181080987;0.460735717
2019-Mar-21;25.71;-3.0319;0.4423011;0.448724151;-0.052916638;0.397956052;0.191608865;0.441681985
2019-Mar-22;28.5121;-2.9574;0.422645851;0.497630022;-0.051616367;0.370891186;0.201478912;0.422082959
2019-Mar-23;31.5913;-2.8674;0.402439563;0.5513722;-0.050045571;0.342371438;0.210556658;0.401935701
2019-Mar-24;35.0004;-2.7582;0.381687019;0.61087222;-0.048139671;0.312295962;0.218675236;0.381244839
2019-Mar-25;38.8062;-2.6247;0.360405044;0.67729596;-0.045809657;0.280558257;0.22562462;0.36002695
2019-Mar-26;43.095;-2.4604;0.338629352;0.752149641;-0.042942081;0.247046614;0.231141698;0.33831718
2019-Mar-27;47.9787;-2.2565;0.316425332;0.837386286;-0.039383355;0.21165303;0.234888841;0.316179969
2019-Mar-28;53.6042;-2.0014;0.293905157;0.935569783;-0.03493102;0.174285146;0.236430905;0.293725867
2019-Mar-29;60.1651;-1.6797;0.271255052;1.05007909;-0.029316295;0.134892064;0.235202498;0.271138496
2019-Mar-30;67.915;-1.2715;0.248778488;1.185340361;-0.022191861;0.093513124;0.230468126;0.248717232
2019-Mar-31;77.1783;-0.7537;0.226962468;1.347015446;-0.013154547;0.050362655;0.221284097;0.226942832
2019-Apr-01;88.3402;-0.1046;0.206570855;1.541827352;-0.001825614;0.005983299;0.206483839;0.20657051
2019-Apr-02;101.7788;0.6798;0.188747486;1.776375169;0.011864748;-0.038527039;0.184760023;0.188734201
2019-Apr-03;117.6719;1.5558;0.175047474;2.053762092;0.027153833;-0.081263437;0.154968657;0.174982944
2019-Apr-04;135.6606;2.4;0.167211118;2.367724135;0.041887902;-0.119486545;0.116762556;0.167064445
2019-Apr-05;154.6072;3.0337;0.16653124;2.698404687;0.052948054;-0.150231688;0.071312116;0.166297859
2019-Apr-06;172.9078;3.3343;0.173131522;3.017810412;0.058194513;-0.171516012;0.021339737;0.172838441
2019-Apr-07;189.2768;3.3181;0.185886784;3.303503358;0.05791177;-0.183148036;-0.029915498;0.18557516
